,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,10025,1281,,4.2,3.8,4.1,4.4,7.5,18.1,12.3,12.8,5.8,6.9,12.1,4.9,3.0,,,87.9,14.1,85.9,82.1,76.0,24.5,20.0,,45.1,85.9,18.2,54.9,85.9,21.5,,95.4,64.6,12.6,0.7,8.9,,8.5,4.6,68.4,15.1,1.9,10.2,0.2,9.4,,23.4,76.6,54.6,9.9,0.1,8.9,
0,10026,629,,6.7,5.1,4.8,4.0,6.8,22.5,14.4,15.1,5.8,4.4,6.0,2.8,1.6,,,83.5,19.3,80.7,78.5,72.6,13.1,10.4,,46.0,79.8,7.9,54.0,81.6,12.6,,95.4,26.4,53.4,0.2,5.9,0.1,9.4,4.6,28.7,56.5,0.7,7.0,0.6,11.1,,21.3,78.7,19.7,50.3,0.1,5.9,
0,10027,1008,,5.1,5.0,4.5,8.0,13.2,20.6,12.9,11.3,4.9,4.3,5.6,3.5,1.1,,,85.4,17.4,82.6,74.7,64.2,12.7,10.2,,46.2,81.1,8.2,53.8,83.9,11.9,,95.8,30.5,39.5,0.4,9.5,,15.8,4.2,33.4,41.8,1.5,11.0,0.2,16.9,,25.4,74.6,25.1,36.8,0.1,9.5,
0,10028,461,,4.1,4.2,3.4,2.4,3.3,26.7,13.6,12.5,5.9,5.5,10.1,5.9,2.6,,,88.4,13.4,86.6,85.7,82.7,21.4,18.6,,42.9,82.4,17.2,57.1,89.8,19.6,,98.1,86.2,1.3,,9.6,,1.0,1.9,88.0,1.8,,10.8,,1.3,,7.4,92.6,80.9,0.8,,9.4,
0,10029,1789,,4.6,5.5,6.2,6.7,8.9,18.1,13.4,11.7,5.7,5.8,6.6,4.6,2.2,,,83.7,20.1,79.9,75.1,68.2,17.0,13.4,,45.7,76.8,9.9,54.3,82.5,16.4,,96.9,33.8,31.0,0.6,9.5,0.1,21.9,3.1,35.6,32.3,1.8,10.3,0.2,23.2,,47.9,52.1,15.5,25.8,0.1,9.3,
0,10030,490,,7.1,4.6,3.6,4.8,7.0,20.2,16.3,14.9,4.7,5.6,5.5,3.3,2.2,,,84.7,17.6,82.4,79.4,72.9,14.3,11.1,,44.3,81.3,8.2,55.7,83.2,13.4,,93.7,16.9,63.1,0.1,2.1,0.4,11.2,6.3,20.8,67.4,2.8,2.5,0.7,13.1,,25.6,74.4,10.8,57.2,0.1,1.8,0.4
0,10031,1287,,5.3,4.1,4.3,5.0,9.2,23.7,13.2,13.9,4.7,5.7,5.7,3.9,1.2,,,86.3,16.8,83.2,80.0,72.1,14.0,10.9,,50.7,81.9,8.7,49.3,84.5,13.1,,83.1,29.7,29.8,0.3,3.9,0.1,19.2,16.9,44.9,44.0,2.1,5.5,0.3,20.8,,51.4,48.6,17.4,23.7,0.1,3.8,
0,10032,1478,,4.3,4.3,3.7,3.8,8.9,25.4,13.0,12.1,6.4,5.2,6.9,4.3,1.7,,,87.7,14.6,85.4,82.8,75.0,15.7,12.9,,50.0,85.6,10.3,50.0,85.2,15.5,,88.7,29.8,19.3,0.7,4.7,0.1,34.1,11.3,35.1,22.5,8.2,5.6,0.3,40.8,,66.3,33.7,14.1,13.6,0.1,4.5,0.1
0,10033,1310,,6.0,4.8,4.6,5.0,7.0,21.3,14.3,11.8,6.3,5.0,7.8,4.5,1.6,,,84.6,18.1,81.9,78.2,72.6,16.4,14.0,,50.7,80.8,11.4,49.3,83.1,16.6,,90.4,40.5,10.4,1.5,2.2,,35.8,9.6,45.5,14.5,6.1,3.3,0.1,41.4,,68.5,31.5,23.6,4.1,,2.1,
0,10034,695,,5.9,5.2,5.5,5.5,6.5,18.7,14.9,13.1,4.9,6.2,8.5,3.4,1.6,,,83.5,19.7,80.3,76.9,71.4,16.7,13.5,,47.5,79.4,11.1,52.5,81.2,15.6,,95.0,38.4,11.6,0.4,3.1,0.2,41.3,5.0,42.1,14.0,1.6,4.1,0.3,43.5,,69.7,30.3,20.1,5.4,,3.0,
0,10035,933,,6.3,4.9,4.2,5.0,7.0,20.3,14.3,14.0,6.6,4.8,6.9,3.6,2.2,,,84.6,18.2,81.8,78.4,72.6,15.3,12.6,,49.5,81.6,10.5,50.5,82.0,14.8,,95.1,20.3,40.8,0.9,4.9,0.1,28.1,4.9,23.3,43.7,1.8,6.4,0.3,30.0,,44.6,55.4,10.2,37.0,0.1,4.4,0.1
0,10036,408,,4.1,1.7,1.1,1.6,8.4,29.1,17.5,14.1,5.0,6.0,7.7,3.1,0.5,,,93.1,7.9,92.1,89.8,83.1,13.9,11.3,,54.4,92.7,10.3,45.6,91.4,12.5,,97.4,63.1,7.2,0.5,19.0,,7.5,2.6,65.4,8.5,0.9,20.1,0.1,8.3,,21.5,78.5,51.4,6.3,0.1,19.0,
0,10037,531,,9.4,5.3,5.7,5.1,5.8,18.2,12.0,13.3,5.9,4.8,6.7,4.6,3.3,,,79.6,24.1,75.9,73.8,68.7,17.5,14.5,,44.5,69.3,10.9,55.5,81.2,17.5,,94.5,10.8,71.9,,2.5,0.1,9.1,5.5,13.9,75.6,2.1,3.8,0.1,11.2,,21.4,78.6,5.9,67.8,,2.5,
0,10038,246,,3.9,2.6,2.9,6.1,9.1,22.6,14.9,9.5,5.3,6.1,8.4,5.7,2.9,,,90.5,11.5,88.5,82.9,75.2,19.9,17.0,,46.9,86.3,14.1,53.1,90.3,19.5,,96.2,51.7,9.3,0.2,31.8,,3.1,3.8,55.0,10.8,0.9,33.7,0.1,3.6,,14.1,85.9,45.0,6.8,0.2,31.0,
