,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,77024,72,"38,379","1,699","2,476","3,333","2,769","1,560","3,327","4,617","6,552","2,712","2,427","3,499","2,062","1,346",43.7,-,"30,871","9,612","28,767","27,986","26,542","8,304","6,907","38,379","18,738","13,894","3,093","19,641","14,873","3,814","38,379","37,444","30,403",657,54,"5,928",-,402,935,"31,304",968,218,"6,391",-,481,"38,379","4,244","34,135","26,611",657,54,"5,856",-
0,77025,65,"28,955","2,166","1,399","1,407","1,044","1,968","5,718","4,051","3,929","1,819","1,580","2,132",896,846,36.8,-,"23,983","5,722","23,233","22,569","20,971","4,659","3,874","28,955","14,175","11,283","1,714","14,780","11,950","2,160","28,955","27,867","17,177","3,231",56,"5,022",56,"2,325","1,088","18,095","3,438",336,"5,668",83,"2,511","28,955","5,156","23,799","14,525","3,222",46,"4,968",56
0,77026,94,"22,380","1,348","1,440","1,303","1,548","1,189","3,521","2,725","3,350","1,470","1,459","1,638",986,403,37.4,-,"18,289","5,008","17,372","16,433","15,552","3,834","3,027","22,380","11,050","8,467","1,151","11,330","8,905","1,876","22,380","22,140","8,820","11,702",5,159,31,"1,423",240,"8,966","11,912",35,159,31,"1,527","22,380","9,778","12,602",546,"11,645",5,159,31
0,77027,29,"16,962",899,402,516,433,"1,307","5,494","2,355","1,619",814,780,"1,530",516,297,32.8,-,"15,145","2,070","14,892","14,671","13,405","2,769","2,343","16,962","7,941","6,961","1,165","9,021","7,931","1,178","16,962","16,497","13,083",983,18,"2,022",-,391,465,"13,515","1,036",103,"2,362",-,411,"16,962","2,400","14,562","11,231",870,18,"2,005",-
0,77028,76,"16,721","1,098","1,377","1,201","1,258",916,"1,941","2,091","2,531","1,222",798,"1,258",846,184,37.4,-,"13,045","4,400","12,321","11,595","10,871","2,788","2,288","16,721","7,999","5,826",759,"8,722","6,495","1,529","16,721","16,341","4,112","11,871",-,-,-,358,380,"4,492","12,219",19,-,-,400,"16,721","4,521","12,200",192,"11,804",-,-,-
0,77029,56,"18,090","1,342","1,512","1,469","1,270","1,071","2,588","2,318","2,156","1,166","1,103","1,164",787,144,34.3,-,"13,767","5,035","13,055","12,178","11,426","2,831","2,095","18,090","8,755","6,202",955,"9,335","6,853","1,140","18,090","17,875","13,280","3,574",52,45,-,924,215,"13,474","3,699",67,108,-,967,"18,090","13,204","4,886","1,230","3,507",19,45,-
0,77030,72,"10,963",845,757,400,263,"1,148","2,323","1,874","1,058",643,436,655,311,250,34.1,-,"8,961","2,171","8,792","8,546","7,550","1,412","1,216","10,963","5,497","4,291",492,"5,466","4,501",724,"10,963","10,409","6,815",517,23,"3,003",-,51,554,"7,369",683,41,"3,350",10,110,"10,963",790,"10,173","6,158",517,14,"3,000",-
0,77031,80,"17,536","1,398",926,"1,371","1,249","1,886","2,727","2,570","1,888",846,813,"1,155",466,241,32.4,-,"13,841","4,387","13,149","12,281","10,706","2,466","1,862","17,536","9,130","6,623",808,"8,406","6,526","1,054","17,536","17,386","6,745","5,361",19,"1,073",-,"4,188",150,"6,882","5,452",32,"1,132",-,"4,198","17,536","8,223","9,313","2,903","5,222",17,"1,073",-
0,77032,86,"14,093","1,278","1,719","1,438","1,645","1,083","1,811","1,748","1,221",577,511,764,262,36,24.2,-,"9,658","5,592","8,501","7,792","6,930","1,324","1,062","14,093","6,635","3,509",461,"7,458","4,992",601,"14,093","13,977","6,212","5,785",-,113,13,"1,854",116,"6,328","5,785",-,113,13,"1,970","14,093","7,230","6,863","1,041","5,680",-,113,13
0,77033,146,"29,903","2,292","2,549","2,308","2,285","2,058","4,151","3,358","3,341","1,714","1,350","2,512","1,538",447,33.1,-,"22,754","8,513","21,390","20,196","18,411","5,266","4,497","29,903","14,159","9,749","1,493","15,744","11,641","3,004","29,903","29,252","6,794","21,180",40,119,58,"1,061",651,"7,246","21,717",121,207,88,"1,194","29,903","7,928","21,975",451,"20,931",-,119,58
