,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,77033,146,,7.7,8.5,7.7,7.6,6.9,13.9,11.2,11.2,5.7,4.5,8.4,5.1,1.5,,,76.1,28.5,71.5,67.5,61.6,17.6,15.0,,47.3,68.9,10.5,52.7,73.9,19.1,,97.8,22.7,70.8,0.1,0.4,0.2,3.5,2.2,24.2,72.6,0.4,0.7,0.3,4.0,,26.5,73.5,1.5,70.0,,0.4,0.2
0,77034,78,,9.7,8.4,7.9,9.9,9.3,14.4,15.4,11.2,4.4,3.3,3.9,1.7,0.5,,,74.0,31.5,68.5,61.7,54.8,8.4,6.1,,48.3,68.0,5.4,51.7,69.0,6.8,,98.2,78.6,8.6,0.4,5.1,,5.4,1.8,80.0,9.3,0.9,5.4,,6.3,,73.4,26.6,12.4,8.4,0.1,5.1,
0,77035,134,,8.3,8.4,6.9,5.9,5.5,17.2,13.2,13.2,5.8,6.0,5.1,3.0,1.3,,,76.4,27.6,72.4,69.7,65.0,12.7,9.5,,49.5,70.8,8.4,50.5,73.9,10.5,,97.6,48.0,27.5,,6.3,,15.7,2.4,49.3,28.4,0.9,7.7,0.1,16.0,,39.9,60.1,24.2,27.2,,6.3,
0,77036,409,,9.1,7.8,7.3,6.6,8.1,19.9,15.7,11.1,4.0,3.4,3.5,2.2,1.2,,,75.8,28.5,71.5,67.9,61.1,8.8,7.0,,52.6,72.9,5.3,47.4,70.0,8.7,,99.2,43.4,14.9,0.2,15.0,0.1,25.5,0.8,44.0,15.2,0.5,15.4,0.2,25.6,,62.5,37.5,8.0,13.4,0.2,15.0,0.1
0,77037,57,,8.0,7.5,9.6,8.4,6.5,12.9,17.5,13.6,5.9,2.5,5.2,2.1,0.4,,,74.9,29.9,70.1,65.1,60.0,8.5,7.7,,52.5,68.5,6.2,47.5,72.0,9.3,,99.4,93.3,1.4,0.2,0.2,,4.4,0.6,93.9,1.4,0.5,0.2,,4.7,,93.1,6.9,5.2,1.4,0.2,0.2,
0,77038,61,,9.0,9.2,10.4,8.6,6.1,16.6,15.2,11.1,3.6,3.8,4.6,1.6,0.4,,,71.4,34.0,66.0,61.5,56.7,8.5,6.5,,50.5,64.9,6.5,49.5,67.1,6.6,,99.1,68.2,17.3,0.7,7.4,,5.5,0.9,68.8,17.8,0.9,7.6,,5.9,,70.4,29.6,5.0,16.7,0.2,7.3,
0,77039,73,,8.3,9.4,8.2,10.3,8.7,14.3,12.9,12.9,3.9,3.1,4.9,2.8,0.3,,,74.1,32.6,67.4,62.1,55.0,10.0,8.0,,51.1,66.3,7.4,48.9,68.6,8.6,,99.7,86.5,7.7,1.4,0.6,,3.4,0.3,86.8,7.9,1.5,0.7,,3.4,,85.5,14.5,5.1,7.6,1.0,0.6,
0,77040,114,,6.2,6.6,7.0,6.5,6.8,17.3,14.0,13.4,6.1,6.6,6.6,2.3,0.6,,,80.2,23.5,76.5,72.4,66.9,13.0,9.5,,50.2,75.4,8.5,49.8,77.7,10.6,,98.2,66.8,13.6,0.3,7.3,0.2,10.0,1.8,68.3,14.2,0.5,8.0,0.3,10.6,,51.4,48.6,27.2,13.0,,7.3,0.2
0,77041,96,,4.9,7.3,6.9,8.0,6.5,14.8,13.5,14.5,7.1,6.5,6.9,2.4,0.7,,,80.9,24.5,75.5,72.0,66.3,13.6,9.9,,51.7,74.3,10.2,48.3,76.9,9.6,,97.8,62.9,8.7,0.3,13.4,0.1,12.4,2.2,64.7,9.6,0.8,14.4,0.1,13.0,,45.6,54.4,30.1,8.5,0.2,13.4,0.1
0,77042,108,,8.2,6.0,5.4,6.4,7.4,24.5,13.4,11.2,5.4,4.2,5.2,2.0,0.7,,,80.3,23.7,76.3,72.3,66.6,10.2,7.9,,46.2,79.2,7.7,53.8,73.8,8.1,,97.7,52.6,31.7,0.1,8.2,0.1,5.1,2.3,54.5,32.6,0.8,9.2,0.2,5.3,,25.7,74.3,32.8,31.0,,8.2,0.1
