,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,60605,161.0,,3.0,2.6,2.1,7.9,8.3,28.4,14.8,11.9,6.6,4.9,7.1,1.9,0.4,,,92.3,8.2,91.8,82.6,76.1,11.9,9.3,,47.7,91.9,8.6,52.3,91.7,10.0,,96.0,61.2,17.2,0.2,16.1,,1.3,4.0,64.4,18.8,0.5,18.4,0.1,2.0,,5.8,94.2,57.3,16.5,0.1,16.1,
0,60654,133.0,,6.1,1.6,0.6,0.4,6.1,41.1,17.4,12.4,4.5,3.9,4.2,1.5,0.2,,,91.7,8.4,91.6,91.3,85.2,8.4,5.9,,51.0,91.0,6.1,49.0,92.2,5.7,,96.8,77.7,5.4,0.3,12.6,,0.8,3.2,80.6,6.0,0.5,15.1,0.1,1.1,,5.2,94.8,73.8,5.4,,12.5,
0,60628,929.0,,6.2,6.2,6.7,6.7,7.8,12.7,11.1,13.1,7.1,5.4,9.3,5.8,1.8,,,80.9,23.2,76.8,72.8,66.4,19.8,16.9,,46.2,75.4,14.4,53.8,77.9,19.0,,99.1,4.4,93.7,0.1,0.2,,0.7,0.9,5.0,94.6,0.5,0.3,,0.8,,3.4,96.6,1.9,93.2,0.1,0.2,
0,60636,616.0,,6.1,5.9,7.5,6.5,6.3,12.3,11.7,12.8,7.0,4.8,10.8,6.4,2.0,,,80.5,23.1,76.9,72.8,67.7,22.3,19.2,,47.3,76.3,16.7,52.7,77.4,21.5,,98.5,4.0,89.9,0.1,,,4.5,1.5,4.9,91.3,0.6,0.1,0.1,4.8,,7.7,92.3,1.0,89.8,0.1,,
0,60653,473.0,,8.2,7.5,8.2,6.2,5.7,14.2,14.3,11.5,5.9,5.5,7.2,4.0,1.7,,,76.2,27.9,72.1,68.9,64.3,16.4,12.9,,42.9,67.6,11.8,57.1,75.5,13.7,,98.2,5.2,91.0,0.3,1.3,,0.3,1.8,6.4,92.2,0.8,2.1,0.1,0.5,,2.2,97.8,4.3,90.3,0.2,1.3,
0,60626,869.0,,5.1,5.4,4.2,5.9,10.2,20.8,15.1,12.8,5.5,4.9,6.1,2.6,1.4,,,85.3,16.7,83.3,76.9,69.2,13.0,10.1,,49.4,83.8,8.4,50.6,82.9,11.8,,96.5,59.2,25.3,0.1,5.9,,6.1,3.5,62.0,26.8,0.9,7.4,0.2,6.6,,20.6,79.4,45.1,24.7,,5.9,
0,60620,998.0,,5.2,6.2,6.2,6.7,6.7,13.1,11.4,13.0,7.9,6.4,8.6,6.4,2.4,,,82.4,21.6,78.4,74.3,69.1,21.0,17.4,,44.1,75.2,13.5,55.9,81.0,20.5,,99.2,1.7,96.4,0.1,0.4,,0.6,0.8,2.0,97.2,0.4,0.5,,0.8,,1.3,98.7,1.1,96.2,0.1,0.4,
0,60612,617.0,,7.0,5.8,6.6,7.5,9.6,20.6,13.4,10.8,5.4,4.2,5.7,2.9,0.6,,,80.7,23.8,76.2,71.4,63.6,11.7,9.1,,48.6,74.2,7.9,51.4,78.2,10.3,,97.6,27.7,60.5,0.2,4.6,0.2,4.4,2.4,29.3,61.9,0.8,5.1,0.3,5.2,,12.3,87.7,21.4,59.9,,4.6,
0,60639,2816.0,,7.3,8.0,7.5,7.3,8.0,14.6,15.1,12.2,6.1,5.0,5.8,2.5,0.8,,,77.2,27.1,72.9,68.1,61.9,11.8,9.0,,49.7,72.6,8.0,50.3,73.1,10.0,,97.4,43.3,13.9,0.4,1.6,,38.1,2.6,45.5,15.0,0.8,1.8,0.1,39.5,,77.9,22.1,6.7,12.9,0.1,1.5,
0,60649,672.0,,7.0,5.5,6.7,5.5,7.1,14.0,13.5,12.7,6.4,7.4,8.2,4.3,1.7,,,80.9,22.8,77.2,73.8,68.2,18.1,14.3,,41.7,73.9,12.3,58.3,79.5,15.7,,98.5,4.0,92.9,0.2,0.4,,1.0,1.5,5.0,94.3,0.7,0.6,,1.1,,2.6,97.4,2.9,92.6,0.2,0.4,
