,zipcode,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,60035,,5.6,6.1,8.0,6.5,3.5,6.1,11.0,15.1,8.3,7.8,12.3,6.6,3.0,,,80.3,24.5,75.5,72.9,70.3,26.4,22.0,,48.1,73.8,21.7,51.9,77.0,22.2,,98.3,92.1,1.4,0.1,2.4,,2.3,1.7,93.8,1.8,0.1,3.7,,2.3,,7.3,92.7,87.1,1.4,0.1,2.4,
0,60040,,7.6,5.9,7.2,6.3,4.3,14.2,14.5,13.5,8.1,4.8,5.1,6.5,2.0,,,79.3,25.2,74.8,72.3,68.7,16.3,13.6,,51.3,72.1,11.4,48.7,77.7,16.0,,99.3,80.9,4.2,0.6,2.6,,11.1,0.7,81.6,4.5,0.6,2.9,,11.1,,47.9,52.1,45.7,3.1,,2.6,
0,60041,,5.3,4.9,5.6,6.5,8.1,13.2,8.4,15.0,7.8,7.4,11.7,4.9,1.1,,,84.2,18.3,81.7,75.5,69.5,21.1,17.8,,48.9,81.7,16.1,51.1,81.7,19.3,,98.8,94.7,0.3,,0.9,1.6,1.2,1.2,95.9,1.1,0.3,0.9,1.6,1.4,,11.8,88.2,84.3,0.3,,0.9,1.6
0,60042,,4.7,7.9,7.2,5.7,4.9,10.1,15.9,18.5,7.3,5.8,6.9,3.7,1.4,,,80.2,23.5,76.5,73.6,69.6,14.5,11.9,,52.8,73.9,9.5,47.2,79.5,14.5,,97.4,94.5,0.4,,1.4,,1.1,2.6,96.8,1.6,,2.7,0.1,1.4,,13.2,86.8,83.9,0.4,,1.4,
0,60043,,7.1,8.7,11.1,9.7,3.6,2.5,11.3,17.4,8.6,6.8,6.3,4.1,2.7,,,73.1,33.6,66.4,62.7,59.8,16.4,13.1,,50.7,63.6,13.1,49.3,69.3,13.1,,98.2,92.5,0.7,,5.1,,,1.8,94.2,1.2,0.8,6.1,,,,2.8,97.2,90.4,0.7,,5.1,
0,60044,,4.4,5.7,6.4,6.1,8.8,11.9,9.8,15.3,8.6,8.1,9.0,4.0,1.8,,,83.5,20.6,79.4,76.5,68.6,19.1,14.8,,46.4,80.1,14.4,53.6,78.8,15.2,,98.4,84.6,1.4,,11.3,,1.0,1.6,86.1,1.5,0.6,12.1,,1.3,,7.6,92.4,78.6,1.4,,11.3,
0,60045,,4.0,5.6,8.3,9.7,5.9,4.8,9.3,16.0,7.4,7.3,12.7,5.5,3.4,,,82.1,23.8,76.2,71.2,66.4,25.4,21.6,,49.6,75.8,19.0,50.4,76.6,24.2,,98.3,87.9,1.8,0.2,7.9,,0.5,1.7,89.4,2.5,0.4,8.7,,0.7,,4.8,95.2,83.9,1.8,,7.9,
0,60046,,5.6,5.8,8.3,8.4,6.7,9.6,12.8,17.4,8.1,5.3,8.1,2.7,1.2,,,80.3,25.0,75.0,70.1,65.2,14.8,12.0,,50.0,73.9,11.2,50.0,76.0,12.9,,98.2,89.9,2.2,,3.9,,2.1,1.8,91.5,2.6,0.4,4.9,,2.4,,8.9,91.1,83.7,2.1,,3.9,
0,60047,,4.6,6.5,8.8,8.0,5.8,8.9,11.4,18.8,8.7,6.5,7.6,2.8,1.6,,,80.1,24.8,75.2,70.9,66.3,15.9,12.0,,50.0,74.3,10.9,50.0,76.1,13.2,,98.1,83.7,2.0,,10.6,0.1,1.8,1.9,85.3,2.4,0.3,11.7,0.3,2.0,,8.1,91.9,78.2,1.5,,10.5,
0,60048,,4.1,6.5,7.9,8.3,6.1,6.1,10.5,18.4,9.5,7.0,8.7,4.1,2.5,,,81.5,24.1,75.9,71.6,67.0,19.0,15.4,,48.9,75.2,14.0,51.1,76.6,16.7,,98.3,89.5,1.1,0.3,6.9,,0.5,1.7,91.0,1.8,0.5,7.7,,0.8,,4.3,95.7,86.3,1.0,0.1,6.9,
0,60050,,4.9,6.0,7.3,6.7,7.1,12.3,13.0,14.2,7.6,5.8,8.7,3.7,2.8,,,81.8,22.4,77.6,74.1,68.0,18.3,15.2,,49.7,76.7,12.8,50.3,78.5,17.5,,98.7,94.7,0.7,0.3,1.4,,1.8,1.3,95.8,1.1,0.5,1.8,,2.1,,14.2,85.8,82.6,0.5,0.2,1.4,
0,60051,,5.6,5.8,5.5,8.3,5.4,11.0,13.6,16.4,8.6,7.0,8.1,3.4,1.4,,,83.1,21.9,78.1,73.9,69.5,16.4,12.9,,50.0,77.1,13.0,50.0,79.2,12.8,,98.2,94.1,0.8,0.1,1.4,,1.8,1.8,95.9,1.4,0.2,2.3,,2.3,,9.8,90.2,86.7,0.8,,1.3,
0,60053,,4.2,5.6,5.3,5.0,4.7,9.8,12.2,13.6,7.8,7.6,12.8,7.6,3.9,,,84.9,18.6,81.4,79.2,75.2,29.2,24.3,,49.6,79.6,21.8,50.4,83.3,26.8,,98.2,62.4,3.0,,30.9,,1.9,1.8,63.6,3.1,0.1,32.5,0.1,2.5,,6.2,93.8,58.3,2.9,,30.4,
