zipcode,income,old_ratio,average_HH,total_population,intergen,grandparents_caregivers,percent_nonwhite,percent_service,Positive_Covid_Tests,Covid_Rate,ses_level,nonwhite_level
60115,44747.0,0.16756182862852861,2.585,45325,0.16756182862852861,0.042343242568073945,0.24189740761169332,0.1348718084123254,88,0.0019415333701047986,low,high
60118,88264.0,0.3254556688291628,2.235,15836,0.3254556688291628,0.04525795489650911,0.12743116948724426,0.08499886869296328,43,0.002715332154584491,high,med
60119,104516.0,0.20930880713489408,2.855,10246,0.20930880713489408,0.035395763656633224,0.06080421627952372,0.07528932977235152,23,0.0022447784501268787,high,low
60120,57843.0,0.2341674190635883,3.295,50922,0.2341674190635883,0.13807558364504063,0.3915596402340835,0.138837112975044,759,0.014905149051490514,med,high
60123,61680.0,0.24464446444644464,2.8200000000000003,48952,0.24464446444644464,0.08298829882988298,0.31267363948357574,0.11872468313079838,442,0.009029253145938878,med,high
60124,109865.0,0.3130949318240288,3.0700000000000003,22338,0.3130949318240288,0.09055827116027786,0.17781359118990062,0.07274607826236856,62,0.0027755394395201005,high,med
60126,111420.0,0.297915305577003,2.55,48410,0.297915305577003,0.024410524440220942,0.08996075191076223,0.06896831185671448,186,0.0038421813674860564,high,med
60130,59361.0,0.2303583977512298,1.94,14041,0.2303583977512298,0.013070976809557273,0.37775087244498257,0.06826821968777805,98,0.006979559860408803,med,high
60131,63157.0,0.28424271688395303,2.7800000000000002,18025,0.28424271688395303,0.10365362948656044,0.17514563106796116,0.11201587518817573,249,0.013814147018030513,med,med
60133,74883.0,0.2158837686068277,3.5,38400,0.2158837686068277,0.14894375612799715,0.42526041666666664,0.13053494596334317,452,0.011770833333333333,med,high
60134,117951.0,0.2567078972407231,2.69,29401,0.2567078972407231,0.023120837297811607,0.027448045984830447,0.0687900324646837,99,0.0033672324070609843,high,low
60135,65435.0,0.2511398176291793,2.5549999999999997,6906,0.2511398176291793,0.0,0.019693020561830293,0.09599710197428002,23,0.00333043730089777,med,low
60136,104114.0,0.12385702410640066,2.795,7742,0.12385702410640066,0.08146300914380715,0.3160681994316714,0.09510030864197531,33,0.0042624644794626715,high,high
60137,107332.0,0.315564882826163,2.48,38279,0.315564882826163,0.023154949282966072,0.11442305180386113,0.07140716069941715,106,0.0027691423495911595,high,med
60139,65865.0,0.2266177626408174,2.9699999999999998,34364,0.2266177626408174,0.1281984106191599,0.42268071237341404,0.11862565101727303,385,0.01120358514724712,med,high
60140,94191.0,0.24291162327972143,2.815,17639,0.24291162327972143,0.06483170286851268,0.05629570837349056,0.13267905304165417,57,0.0032314757072396394,high,low
60142,76730.0,0.5128848149429264,2.35,28121,0.5128848149429264,0.035195434105845726,0.0995341559688489,0.06732311530921405,54,0.001920273105508339,high,med
60143,92561.0,0.34149239543726234,2.51,10996,0.34149239543726234,0.03944866920152091,0.08157511822480902,0.10771775082690187,113,0.01027646416878865,high,low
60146,61673.0,0.3492537313432836,2.705,2655,0.3492537313432836,0.04875621890547264,0.02824858757062147,0.09598853868194843,8,0.0030131826741996233,med,low
60148,81504.0,0.27320197044334976,2.51,52963,0.27320197044334976,0.03310344827586207,0.19406000415384325,0.09023812839437405,222,0.004191605460415762,high,med
60151,89205.0,0.23237071860308933,2.6950000000000003,4024,0.23237071860308933,0.016118200134318333,0.022614314115308152,0.0756045301499847,12,0.002982107355864811,high,low
60152,85133.0,0.3199738619037247,2.69,12345,0.3199738619037247,0.030494445654541496,0.029080599432968812,0.08775448801524421,49,0.003969218307006885,high,low
60153,48600.0,0.3187256176853056,3.015,23810,0.3187256176853056,0.11846553966189857,0.8301553968920622,0.10031463030938648,330,0.01385972280554389,low,high
60154,80412.0,0.40094555436937623,2.505,16573,0.40094555436937623,0.05490315693152356,0.2943341579677789,0.08926627476594819,146,0.008809509443070053,high,high
60155,49236.0,0.39856429463171034,2.3899999999999997,7829,0.39856429463171034,0.06491885143570537,0.8191339890151998,0.10168443826301962,130,0.01660493038702261,low,high
60156,91066.0,0.16267942583732056,2.925,28886,0.16267942583732056,0.0668816309548575,0.09122066052759122,0.1182038501989117,89,0.0030810773385030812,high,med
60157,105644.0,0.3684210526315789,3.2199999999999998,2502,0.3684210526315789,0.056140350877192984,0.10471622701838529,0.08627450980392157,10,0.003996802557953637,high,med
60160,50571.0,0.25821962313190383,3.29,25412,0.25821962313190383,0.10071474983755685,0.41012120258145757,0.1419782806398117,479,0.018849362505902724,low,high
60162,53728.0,0.26271471876052543,2.605,8165,0.26271471876052543,0.10643314247221286,0.6574402939375382,0.1417495611468695,110,0.013472137170851195,low,high
60163,64934.0,0.3164039696438996,2.74,5161,0.3164039696438996,0.1336835960303561,0.45998837434605694,0.08928989922662292,65,0.012594458438287154,med,high
60164,60191.0,0.29003205617462985,3.045,21600,0.29003205617462985,0.12944588612425584,0.22203703703703703,0.09910719635688178,341,0.015787037037037037,med,med
60165,59022.0,0.14873417721518986,3.895,4923,0.14873417721518986,0.2310126582278481,0.5005078204346943,0.13804527885146328,128,0.026000406256347756,med,high
60169,75275.0,0.2256564786913474,2.845,33667,0.2256564786913474,0.08058544984933276,0.4591142661953842,0.12315723686629168,254,0.007544479757626162,med,high
60171,55508.0,0.2889774236387782,2.645,10148,0.2889774236387782,0.11261620185922974,0.13854946787544345,0.12258699127013402,80,0.007883326763894364,med,med
60172,85787.0,0.2547127966289643,2.665,24551,0.2547127966289643,0.028055001108893324,0.15221375911368173,0.09185347184253691,152,0.006191193841391389,high,med
60173,81250.0,0.12906057945566285,2.2,12162,0.12906057945566285,0.030728709394205442,0.4929287946061503,0.07815611310234966,57,0.0046867291563887515,high,high
60174,84957.0,0.2996557521415419,2.425,31405,0.2996557521415419,0.023937234809062524,0.09272408852093615,0.10591632844208554,104,0.0033115745900334343,high,med
60175,147625.0,0.23404255319148937,3.3099999999999996,25734,0.23404255319148937,0.0376720901126408,0.05735602704593145,0.060649569264283595,59,0.002292686717960675,high,low
60176,54617.0,0.2607783733395479,2.68,11704,0.2607783733395479,0.06268934980191097,0.1637047163362953,0.164140365448505,101,0.008629528366370471,low,med
60177,93388.0,0.19152632985832665,3.0149999999999997,23109,0.19152632985832665,0.0681635926222935,0.14712882426760138,0.09033637729742226,170,0.007356441213380068,high,med
60178,73524.0,0.2625404046450377,2.62,22413,0.2625404046450377,0.05949958098886628,0.06991478159996431,0.11201814058956916,29,0.0012938919377147192,med,low
60181,69488.0,0.27329250185597626,2.6799999999999997,28801,0.27329250185597626,0.05957683741648107,0.19016700808999687,0.10310944187265263,168,0.00583313079406965,med,med
60185,80058.0,0.25602950912702166,3.4749999999999996,36129,0.25602950912702166,0.10593019956492954,0.21210108223310914,0.12986118661882498,476,0.01317501176340336,high,med
60187,103510.0,0.2717557251908397,2.55,29708,0.2717557251908397,0.03073791348600509,0.10815268614514609,0.08724888982871642,84,0.002827521206409048,high,med
60188,82232.0,0.22999799478644475,2.76,42602,0.22999799478644475,0.07753492413608716,0.310314069761983,0.08872229273043888,354,0.008309469039012253,high,high
60189,98750.0,0.27758037958228615,2.56,30427,0.27758037958228615,0.030158592599012046,0.1212738686035429,0.06204983856279493,63,0.0020705294639629277,high,med
60190,106581.0,0.30735930735930733,2.48,11143,0.30735930735930733,0.028708133971291867,0.06272996500044871,0.06002772150549099,28,0.0025127882975859283,high,low
60191,66687.0,0.3066255778120185,2.8899999999999997,14147,0.3066255778120185,0.042950693374422186,0.19057043896232417,0.08663408056632395,129,0.00911854103343465,med,med
60192,119013.0,0.23637049613280514,3.35,15650,0.23637049613280514,0.0762120354650066,0.34300319488817893,0.06870355078447564,33,0.002108626198083067,high,high
60193,82559.0,0.3030543435144784,2.66,40248,0.3030543435144784,0.040592357530080656,0.26212482607831444,0.0823854807632544,156,0.003875968992248062,high,high
60194,76704.0,0.29414125200642055,2.56,18946,0.29414125200642055,0.0521669341894061,0.3868890530982793,0.08738244514106583,85,0.004486435131426159,high,high
60195,83862.0,0.11650922177237967,2.46,5568,0.11650922177237967,0.06972559604138552,0.5809985632183908,0.07255520504731862,12,0.0021551724137931034,high,high
60201,77699.0,0.30381760339342523,2.34,42296,0.30381760339342523,0.04003181336161188,0.2756525439757897,0.061269393511988714,255,0.006028938906752411,high,high
60202,77931.0,0.22983030663888063,2.39,32861,0.22983030663888063,0.038329860077403986,0.32071452481665197,0.09626800771354029,280,0.008520738869784852,high,high
60203,119750.0,0.39758226997985224,3.0199999999999996,4188,0.39758226997985224,0.055070517125587644,0.25573065902578795,0.0415748031496063,23,0.0054918815663801334,high,high
60301,80282.0,0.27836990595611283,1.655,2536,0.27836990595611283,0.0,0.38761829652996843,0.01581356637536413,18,0.007097791798107256,high,high
60302,87904.0,0.273145108338805,2.24,32048,0.273145108338805,0.01926023199824907,0.27252870693959064,0.06152635719905586,168,0.005242136794807789,high,high
60304,106898.0,0.2094954559699154,2.56,17641,0.2094954559699154,0.027264180507677843,0.22561079303894338,0.07335260995282301,61,0.0034578538631596847,high,med
60305,121908.0,0.33417402269861285,2.335,11064,0.33417402269861285,0.005800756620428752,0.13250180766449746,0.06590091657964961,36,0.0032537960954446853,high,med
60401,68044.0,0.3338821205136648,2.5549999999999997,7779,0.3338821205136648,0.05498847546921304,0.027381411492479753,0.05422622747047856,34,0.004370741740583622,med,low
60402,60814.0,0.2505779233288384,2.9850000000000003,63554,0.2505779233288384,0.1092275091504527,0.4022878182333134,0.1339332980412917,975,0.015341284576895238,med,high
60403,54530.0,0.3424677395969262,2.36,18254,0.3424677395969262,0.03668261562998405,0.2648186698805741,0.10248161764705882,133,0.0072860742850882,low,high
60404,101911.0,0.3164831756861529,2.575,18796,0.3164831756861529,0.057218173360210886,0.11949350925728879,0.10200781565826708,84,0.004469035965098957,high,med
60406,43504.0,0.24465531039213445,2.875,25256,0.24465531039213445,0.12404252886704013,0.4933481152993348,0.12635453932700783,330,0.013066202090592335,low,high
60408,65559.0,0.19637040483946022,2.42,5649,0.19637040483946022,0.003257328990228013,0.006903876792352629,0.12429505977893075,13,0.002301292264117543,med,low
60409,42718.0,0.2872956156851396,2.665,36955,0.2872956156851396,0.0808855447836782,0.7661480178595589,0.13575778667130678,418,0.011311053984575836,low,high
60410,89398.0,0.23918269230769232,3.19,12791,0.23918269230769232,0.065625,0.039715424908138536,0.12378126324713862,32,0.002501759049331561,high,low
60411,46771.0,0.2783817044405702,2.91,57800,0.2783817044405702,0.08824735924520562,0.6824740484429066,0.11759796070292584,664,0.011487889273356401,low,high
60415,42306.0,0.22019771273502617,2.665,14254,0.22019771273502617,0.05776313238999806,0.17391609372807634,0.07337995337995339,149,0.01045320611758103,low,med
60417,69491.0,0.42197231833910037,2.2800000000000002,15225,0.42197231833910037,0.07508650519031142,0.32985221674876847,0.069805832874774,116,0.007619047619047619,med,high
60419,45463.0,0.2709178996988346,3.01,22644,0.2709178996988346,0.11418096111038366,0.9281045751633987,0.11660541262946876,277,0.012232821056350467,low,high
60420,62669.0,0.31785883467550924,2.115,4812,0.31785883467550924,0.0071056371387967785,0.015793848711554447,0.1018355544380186,6,0.0012468827930174563,med,low
60421,80960.0,0.2649690295939436,2.465,3843,0.2649690295939436,0.03785271851342051,0.03200624512099922,0.11614364283403429,9,0.00234192037470726,high,low
60422,108375.0,0.39513590844062946,3.515,9768,0.39513590844062946,0.04005722460658083,0.6130221130221131,0.06476514457673688,73,0.007473382473382474,high,high
60423,108295.0,0.27319637815207864,2.785,30938,0.27319637815207864,0.05374354980040892,0.09434999030318703,0.08741749174917492,110,0.003555498092960114,high,med
60425,63444.0,0.31875,2.86,8912,0.31875,0.07894736842105263,0.7459605026929982,0.10340941110171879,107,0.012006283662477558,med,high
60426,30015.0,0.2956066336921734,2.7649999999999997,28924,0.2956066336921734,0.08398797400834061,0.8163462868206334,0.13403762146741552,344,0.01189323744986862,low,high
60428,38978.0,0.3437110834371108,3.19,12271,0.3437110834371108,0.12677459526774595,0.842148154184663,0.103137039075399,160,0.0130388721375601,low,high
60429,51742.0,0.3263411279229711,2.69,15387,0.3263411279229711,0.10264786795048143,0.851173068174433,0.09466874129882892,183,0.011893156560733087,low,high
60430,73251.0,0.29829255861365955,2.495,20227,0.29829255861365955,0.046636085626911315,0.4731299747861769,0.08647876831388131,221,0.010925990013348494,med,high
60431,91333.0,0.24348413234301147,3.335,23219,0.24348413234301147,0.1262660364618501,0.19419440975063526,0.1328311084030355,135,0.005814203884749559,high,med
60432,43357.0,0.20294307891332472,3.235,20222,0.20294307891332472,0.08457309184993532,0.4841756502818712,0.14272010962658443,231,0.011423202452774206,low,high
60433,48039.0,0.28447799668569324,2.9349999999999996,16629,0.28447799668569324,0.07125759528631928,0.44662938240423355,0.13044801095306915,200,0.012027181430031873,low,high
60435,54372.0,0.2584343268915821,2.615,49863,0.2584343268915821,0.07298831750191069,0.293163267352546,0.13049608355091383,497,0.009967310430579789,low,high
60436,55550.0,0.23263140441054553,2.995,18945,0.23263140441054553,0.08008622119051567,0.3766693058854579,0.1577167310877968,142,0.0074953813671153335,med,high
60438,52028.0,0.2897727272727273,2.46,28960,0.2897727272727273,0.04248251748251748,0.4801450276243094,0.10725672745823236,268,0.009254143646408839,low,high
60439,93489.0,0.3508113344635505,2.575,23422,0.3508113344635505,0.039719060305158635,0.04662283323371189,0.06735177865612649,69,0.002945948253778499,high,low
60440,73813.0,0.22656107219007005,3.1550000000000002,52246,0.22656107219007005,0.09253731343283582,0.4890709336599931,0.13274292863626327,634,0.01213490027944723,med,high
60441,74544.0,0.24000337438839212,2.67,35415,0.24000337438839212,0.05103762443057196,0.13694762106452069,0.10421278114958943,161,0.004546096286884089,med,med
60442,91700.0,0.21194715680643308,2.8499999999999996,10531,0.21194715680643308,0.04623779437105112,0.019656252967429493,0.11882202304737516,31,0.0029436900579242237,high,low
60443,73544.0,0.2988659919522009,2.52,21554,0.2988659919522009,0.09437873430069504,0.7709009928551545,0.11888711151736746,281,0.01303702329034054,med,high
